Type,Code,Area,All Residents,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 to 89,Age 90 and Over
Scotland District,S12000033,Aberdeen City,192600,14700,23200,21200,17000,14700,14800,15400,14300,12800,12500,8500,7700,6700,9100,0
Scotland District,S12000034,Aberdeenshire,208700,15300,13100,13200,14600,17400,20100,20600,18800,17400,17500,12600,10000,7800,10300,0
England and Wales District,E07000223,Adur,50675,3540,2982,3131,3363,3947,4532,4450,4003,3679,4301,3658,3057,2602,2082,1348
England and Wales District,E07000026,Allerdale,80457,5790,4610,4808,4766,5449,7345,7409,6982,6529,7604,5912,4944,3847,2775,1687
England and Wales District,E07000032,Amber Valley,101246,7305,6233,6439,6549,8080,9660,9622,8512,7958,9179,7219,5277,4158,3074,1981
Scotland District,S12000041,Angus,97100,6900,6000,6000,6000,6900,8300,9100,8300,7800,8700,6700,5600,4600,6200,0
Scotland District,S12000035,Argyll and Bute,74900,5100,4400,4200,3900,4800,6200,6900,6500,6300,7200,5900,4900,3700,4900,0
England and Wales District,E07000224,Arun,125366,7931,7443,7314,7190,8113,10123,10463,9404,9080,11359,10264,8971,7558,6037,4116
England and Wales District,E07000170,Ashfield,97442,7345,7064,7104,7110,7876,9367,9375,8009,7172,7580,6547,5030,3698,2542,1623
England and Wales District,E07000105,Ashford,94048,7621,6245,6470,6548,7559,9483,9196,7471,6749,7679,6195,4614,3697,2729,1792
England and Wales District,E07000004,Aylesbury Vale,139803,10884,8763,9872,10928,12149,14083,14497,12564,10464,10741,7930,6279,4901,3575,2173
England and Wales District,E07000200,Babergh,72055,5121,3958,3795,4118,5228,6498,6742,5900,5843,6986,5695,4315,3491,2705,1660
England and Wales District,E09000002,Barking and Dagenham,139186,12585,13053,14971,15241,14506,13716,12216,10012,7727,6799,4950,4326,3779,3203,2102
England and Wales District,E09000003,Barnet,283612,20580,23913,31425,30171,27104,26589,23979,20848,17549,16912,13326,10397,9034,7000,4785
England and Wales District,E08000016,Barnsley,189923,14390,13533,14446,12793,14720,18212,17843,16204,14330,14843,12346,9734,7708,5542,3279
